sequential_entry_number,original_record_id,bank,record_type,exact_japanese_source,romaji,reconstructed_japanese,literal_english_meaning,linguistic_and_cultural_notes,speaker_or_narration_identity,current_english,problems_with_current_english,final_natural_english_translation,patch_safe_english_translation,confidence_level,unresolved_ambiguity,translation_status,scene,source_location,apparent_capacity,source_control_codes,patch_control_codes,control_codes_match,problem_categories,dialect_or_register,requires_gameplay_context,requires_technical_expansion,nuance_lost_in_patch_safe_version
1922,TT6B/fixed/r57,TT6B,fixed-address,わらいかける,waraikakeru,わらいかける,Smile at,Fixed-address interface record: 6 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Smile,Technical abbreviation: current slot text 'Smile' represents 'Smile at' in 6 packed bytes. Natural meaning is expanded in the final field.,Smile at,Smile,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A870,6 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1923,TT6B/fixed/r58,TT6B,fixed-address,ほめる,homeru,ほめる,Compliment,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Praise,Technical abbreviation: current slot text 'Praise' represents 'Compliment' in 4 packed bytes. Natural meaning is expanded in the final field.,Compliment,Praise,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A876,4 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1924,TT6B/fixed/r59,TT6B,fixed-address,ひづめ,hizume,ひづめ,Hoof,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Hoof,Accurate within a fixed 4-byte record.,Hoof,Hoof,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A87A,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1925,TT6B/fixed/r60,TT6B,fixed-address,しっぽ,shippo,しっぽ,Tail,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Tail,Accurate within a fixed 4-byte record.,Tail,Tail,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A87E,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1926,TT6B/fixed/r61,TT6B,fixed-address,たてがみ,tategami,たてがみ,Mane,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Mane,Accurate within a fixed 5-byte record.,Mane,Mane,High,,Final proposed,"Journey to Bethlehem: desert trials, riddles, and animal comedy",$A882,5 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1927,TT6C/fixed/r0,TT6C,fixed-address,みる,miru,みる,Look,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Look,Accurate within a fixed 3-byte record.,Look,Look,High,,Final proposed,Nativity climax and final confrontation,$AAB8,3 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1928,TT6C/fixed/r1,TT6C,fixed-address,あくま,akuma,あくま,Devil,Fixed-address interface record: 2 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Down,Technical abbreviation: current slot text 'Down' represents 'Devil' in 2 packed bytes. Natural meaning is expanded in the final field.,Devil,Down,High,,Final proposed,Nativity climax and final confrontation,$AABB,2 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1929,TT6C/fixed/r2,TT6C,fixed-address,とびかかる,tobikakaru,とびかかる,Leap at,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Leap,Technical abbreviation: current slot text 'Leap' represents 'Leap at' in 5 packed bytes. Natural meaning is expanded in the final field.,Leap at,Leap,High,,Final proposed,Nativity climax and final confrontation,$AABD,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1930,TT6C/fixed/r3,TT6C,fixed-address,とる,toru,とる,Take,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Take,Accurate within a fixed 3-byte record.,Take,Take,High,,Final proposed,Nativity climax and final confrontation,$AAC2,3 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1931,TT6C/fixed/r4,TT6C,fixed-address,つぼ,tsubo,つぼ,Jar,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Jar,Accurate within a fixed 3-byte record.,Jar,Jar,High,,Final proposed,Nativity climax and final confrontation,$AAC5,3 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1932,TT6C/fixed/r5,TT6C,fixed-address,はなす,hanasu,はなす,Talk,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Talk,Accurate within a fixed 4-byte record.,Talk,Talk,High,,Final proposed,Nativity climax and final confrontation,$AAC8,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1933,TT6C/fixed/r6,TT6C,fixed-address,きく,kiku,きく,Ask / listen,Fixed-address interface record: 3 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Ask,Technical abbreviation: current slot text 'Ask' represents 'Ask / listen' in 3 packed bytes. Natural meaning is expanded in the final field.,Ask / listen,Ask,High,,Final proposed,Nativity climax and final confrontation,$AACC,3 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1934,TT6C/fixed/r7,TT6C,fixed-address,たべる,taberu,たべる,Eat,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Eat,Accurate within a fixed 4-byte record.,Eat,Eat,High,,Final proposed,Nativity climax and final confrontation,$AACF,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1935,TT6C/fixed/r8,TT6C,fixed-address,つかう,tsukau,つかう,Use,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Use,Accurate within a fixed 4-byte record.,Use,Use,High,,Final proposed,Nativity climax and final confrontation,$AAD3,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1936,TT6C/fixed/r9,TT6C,fixed-address,へやのなか,heyanonaka,へやのなか,Inside the room,Fixed-address interface record: 5 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Room,Technical abbreviation: current slot text 'Room' represents 'Inside the room' in 5 packed bytes. Natural meaning is expanded in the final field.,Inside the room,Room,High,,Final proposed,Nativity climax and final confrontation,$AAD7,5 packed bytes (fixed-address slot),,,yes,Acceptable compression / technical abbreviation,Unmarked / neutral or context-dependent,no,no,
1937,TT6C/fixed/r10,TT6C,fixed-address,よせふ,yosefu,ヨセフ,Joseph,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Joseph,Accurate within a fixed 4-byte record.,Joseph,Joseph,High,,Final proposed,Nativity climax and final confrontation,$AADC,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
1938,TT6C/fixed/r11,TT6C,fixed-address,まりあ,maria,マリア,Mary,Fixed-address interface record: 4 packed bytes. The natural field expands the meaning; the patch-safe field retains the verified slot form. Reconstructed Japanese is conservative editorial normalization; any kana left unreconstructed remains deliberately unresolved rather than being silently assigned kanji.,Interface / command / object label,Mary,Accurate within a fixed 4-byte record.,Mary,Mary,High,,Final proposed,Nativity climax and final confrontation,$AAE0,4 packed bytes (fixed-address slot),,,yes,Accurate,Unmarked / neutral or context-dependent,no,no,
